iter	Passed	Remaining
404	8765	12878
405	8787	12857
406	8809	12834
407	8833	12817
408	8857	12799
409	8875	12771
410	8896	12749
411	8915	12724
412	8935	12699
413	8954	12674
414	8974	12650
415	8996	12629
416	9019	12609
417	9041	12588
418	9063	12568
419	9084	12545
420	9105	12522
421	9124	12497
422	9145	12475
423	9166	12452
424	9187	12430
425	9209	12408
426	9227	12383
427	9248	12359
428	9267	12335
429	9287	12310
430	9313	12295
431	9336	12275
432	9366	12264
433	9386	12241
434	9411	12224
435	9431	12200
436	9451	12176
437	9472	12154
438	9496	12135
439	9517	12113
440	9541	12094
441	9562	12072
442	9584	12050
443	9603	12025
444	9623	12002
445	9649	11985
446	9670	11963
447	9692	11942
448	9712	11919
449	9733	11896
450	9751	11870
451	9775	11851
452	9797	11830
453	9816	11805
454	9832	11777
455	9855	11757
456	9875	11733
457	9895	11709
458	9914	11685
459	9937	11665
460	9955	11640
461	9977	11618
462	9998	11596
463	10019	11574
464	10040	11552
465	10059	11527
466	10080	11505
467	10102	11484
468	10124	11463
469	10142	11436
470	10161	11412
471	10179	11387
472	10200	11365
473	10219	11341
474	10240	11318
475	10261	11296
476	10280	11272
477	10300	11248
478	10318	11223
479	10348	11211
480	10374	11193
481	10400	11176
482	10422	11156
483	10446	11137
484	10469	11117
485	10493	11097
486	10513	11074
487	10537	11055
488	10561	11036
489	10583	11015
490	10604	10993
491	10628	10974
492	10652	10954
493	10674	10934
494	10696	10912
495	10717	10890
496	10740	10870
497	10759	10846
498	10777	10820
499	10797	10797
500	10816	10773
501	10837	10750
502	10854	10725
503	10873	10700
504	10892	10676
505	10908	10650
506	10927	10626
507	10947	10602
508	10967	10579
509	10990	10559
510	11007	10533
511	11028	10511
512	11049	10489
513	11069	10466
514	11090	10444
515	11111	10422
516	11133	10401
517	11156	10380
518	11178	10359
519	11199	10337
520	11219	10314
521	11238	10291
522	11260	10270
523	11285	10252
524	11307	10230
525	11332	10211
526	11352	10188
527	11374	10167
528	11395	10145
529	11414	10122
530	11435	10100
531	11455	10077
532	11474	10053
533	11494	10030
534	11514	10007
535	11535	9985
536	11557	9965
537	11582	9946
538	11599	9920
539	11620	9898
540	11638	9874
541	11656	9849
542	11684	9834
543	11702	9809
544	11723	9787
545	11743	9764
546	11763	9741
547	11786	9721
548	11805	9698
549	11826	9675
550	11846	9653
551	11866	9630
552	11888	9609
553	11909	9587
554	11928	9564
555	11946	9539
556	11965	9516
557	11989	9496
