iter	MultiClass
435	1.049587983
436	1.049476273
437	1.04935101
438	1.049252495
439	1.049152109
440	1.049060315
441	1.048993565
442	1.048889107
443	1.04879308
444	1.048751752
445	1.04861859
446	1.048523064
447	1.048423484
448	1.04831812
449	1.048194305
450	1.048066326
451	1.047954977
452	1.047817356
453	1.047740131
454	1.047673919
455	1.047514572
456	1.04746637
457	1.047416156
458	1.047334346
459	1.047279837
460	1.047227696
461	1.04711512
462	1.047045453
463	1.046976476
464	1.046930375
465	1.046846852
466	1.046733114
467	1.046647243
468	1.046516031
469	1.046440398
470	1.046333947
471	1.046219572
472	1.046100345
473	1.046049973
474	1.045928133
475	1.045836229
476	1.045765966
477	1.045708995
478	1.045650314
479	1.045512041
480	1.045429751
481	1.04534651
482	1.045273391
483	1.045159135
484	1.04506287
485	1.04496931
486	1.044930178
487	1.044867278
488	1.044725393
489	1.04468081
490	1.044614342
491	1.04454538
492	1.044469294
493	1.044410656
494	1.0442902
495	1.044232204
496	1.04412055
497	1.044062242
498	1.04400685
499	1.04389841
500	1.043784811
501	1.04372603
502	1.043650958
503	1.043607048
504	1.04356639
505	1.043527475
506	1.043470384
507	1.043436047
508	1.043356667
509	1.043258353
510	1.043200642
511	1.043104986
512	1.042965616
513	1.042889272
514	1.042800364
515	1.042703359
516	1.042600998
517	1.042514826
518	1.042368693
519	1.042272992
520	1.042159954
521	1.042112528
522	1.042025483
523	1.041923443
524	1.041838343
525	1.041769075
526	1.041614249
527	1.041491596
528	1.041423903
529	1.041392565
530	1.04135261
531	1.041293228
532	1.041247437
533	1.041222072
534	1.041189056
535	1.041073543
536	1.040982642
537	1.040910849
538	1.040851742
539	1.040748388
540	1.040720844
541	1.040685992
542	1.040604446
543	1.040499541
544	1.040405094
545	1.040304735
546	1.040205262
547	1.040134964
548	1.040055991
549	1.039936911
550	1.039816564
551	1.039747204
552	1.039656226
553	1.039606252
554	1.039494692
555	1.039449572
556	1.039333248
557	1.039239207
558	1.039208832
559	1.039158286
560	1.039074148
561	1.039020569
562	1.038920222
563	1.038886642
564	1.038851045
565	1.038802938
566	1.038757438
567	1.038692405
568	1.03861507
569	1.03855118
570	1.038464545
571	1.038326556
572	1.038235891
573	1.038178307
574	1.038110658
575	1.037981752
576	1.037917911
577	1.037852419
578	1.037742127
579	1.037666086
580	1.037585621
581	1.037555958
582	1.037467831
583	1.03734677
584	1.037243281
585	1.03715787
586	1.037097837
587	1.037021053
588	1.036903368
589	1.036816891
590	1.036770175
591	1.036663319
592	1.036585305
593	1.036497535
594	1.036462045
595	1.036380209
596	1.036285155
597	1.036191638
598	1.036058599
599	1.03600488
600	1.035872354
601	1.035793768
602	1.035748984
603	1.035597526
604	1.035483007
605	1.035366752
606	1.03534688
607	1.03529409
608	1.035250568
609	1.035135263
610	1.035102663
611	1.035039649
612	1.034868728
613	1.034839175
614	1.034742266
615	1.034666928
616	1.034538534
617	1.034446104
618	1.034401477
619	1.034351239
620	1.034248787
621	1.034167864
622	1.034105651
623	1.03405099
624	1.034017068
625	1.033937946
626	1.033846684
627	1.033758576
628	1.033654903
629	1.033575458
630	1.033502351
631	1.033359086
632	1.033230277
633	1.033166966
634	1.03305785
635	1.033029899
636	1.032970738
637	1.032871247
638	1.032796407
639	1.03266305
640	1.032610869
641	1.032540045
642	1.032447013
643	1.032359942
644	1.032242375
645	1.032183316
646	1.032050186
647	1.031942558
648	1.031906792
649	1.031833099
650	1.031777666
651	1.03173015
652	1.03164897
653	1.031577655
654	1.031495071
655	1.03143994
656	1.031380658
657	1.03131297
658	1.031203299
659	1.031103732
660	1.031001134
661	1.030960215
662	1.030840036
663	1.030785816
664	1.030702337
665	1.030676913
666	1.030610144
667	1.03048792
668	1.030434569
669	1.030411384
670	1.03032893
671	1.030294285
672	1.030207811
673	1.030103073
674	1.030087611
675	1.029976213
676	1.029859998
677	1.029811775
678	1.029739098
679	1.029682291
680	1.029651974
681	1.029587675
682	1.029450689
683	1.029382718
684	1.029251172
685	1.029161172
686	1.029054782
687	1.028995855
688	1.028948151
689	1.028861445
690	1.028738383
691	1.028672843
692	1.028624526
693	1.028563171
694	1.028440813
695	1.028374052
696	1.02829094
697	1.02821315
698	1.028135238
699	1.028071877
700	1.028040188
701	1.027940448
702	1.027885485
703	1.027772347
704	1.027679529
705	1.027600364
706	1.027551707
707	1.027472301
708	1.027389481
709	1.027301605
710	1.027210841
711	1.027162831
712	1.027123129
713	1.027006861
714	1.026880132
715	1.026796422
716	1.026758412
717	1.02672926
718	1.026594839
719	1.026561719
720	1.026517271
721	1.026422404
722	1.026336233
723	1.026232008
724	1.026143331
725	1.026084258
726	1.025987312
727	1.025916576
728	1.02587443
729	1.025770967
730	1.02570633
731	1.025651455
732	1.025530876
733	1.025456424
734	1.025358857
735	1.025293434
736	1.025223835
737	1.025127357
738	1.025044386
739	1.025002414
740	1.024939237
741	1.024846597
742	1.024751091
743	1.024712812
744	1.02464483
745	1.02456986
746	1.024520986
747	1.024408777
748	1.024335769
749	1.024309628
750	1.024238996
751	1.024111578
752	1.024006394
753	1.023961884
754	1.02391645
755	1.023854122
756	1.023763077
757	1.023639866
758	1.023581413
759	1.023502561
760	1.023428889
761	1.023350754
762	1.02328693
763	1.023171746
764	1.023057984
765	1.022950507
766	1.022830924
767	1.022754638
768	1.022703389
769	1.022652415
770	1.022524501
771	1.022465544
772	1.022394221
773	1.022341476
774	1.022319259
775	1.022206581
776	1.022044248
777	1.022001342
778	1.021908358
779	1.021827944
780	1.02169237
781	1.021585107
782	1.021540228
783	1.021509801
784	1.021490938
785	1.021392472
786	1.021280967
787	1.021188077
788	1.021152996
789	1.021076663
790	1.020998003
791	1.020885098
792	1.020731152
793	1.02068656
794	1.02061014
795	1.020568055
796	1.020491979
797	1.020396876
798	1.020306004
799	1.020204246
800	1.020113384
801	1.020028448
802	1.019966223
803	1.019924378
804	1.019871976
805	1.019826578
806	1.019799457
807	1.0197325
808	1.019693496
809	1.0196315
810	1.019551402
811	1.019482991
812	1.01942012
813	1.019368925
814	1.019272363
815	1.019237187
816	1.019210752
817	1.01917907
818	1.019108437
819	1.019049094
820	1.018976816
821	1.018872926
822	1.018783918
823	1.018661221
824	1.018535941
825	1.018447858
826	1.018406561
827	1.018342985
828	1.018321423
829	1.018250269
830	1.018178811
831	1.018119782
832	1.01801725
833	1.017912359
834	1.01783141
835	1.017796576
836	1.017713428
837	1.017680763
838	1.017607323
839	1.017534242
840	1.017487836
841	1.017448676
842	1.017355295
843	1.017200279
844	1.017118398
845	1.01703702
846	1.016929249
847	1.016873268
848	1.016803835
849	1.016719576
850	1.016697201
851	1.016610472
852	1.016555953
853	1.01648623
854	1.01640503
855	1.016283526
856	1.016256608
857	1.016203737
858	1.016171527
859	1.016094236
860	1.016035858
861	1.015978837
862	1.015907855
863	1.01584261
864	1.015775294
865	1.015700022
866	1.015646402
867	1.015600078
868	1.015537132
869	1.015482852
870	1.015346215
871	1.015303802
872	1.015254789
873	1.015229426
874	1.015138097
875	1.01508886
876	1.015017523
877	1.014886819
878	1.014822986
879	1.01472433
880	1.014659627
881	1.014590514
882	1.014491764
883	1.014411941
884	1.014336952
885	1.014268657
886	1.01421605
887	1.014169455
888	1.014141974
889	1.014076996
890	1.014004981
891	1.013988754
892	1.013915799
893	1.0138551
894	1.013796912
895	1.013701459
896	1.013667606
897	1.013614627
898	1.013540976
899	1.01350501
900	1.013461104
901	1.013421012
902	1.013330192
903	1.013276148
904	1.013257351
905	1.013154171
906	1.013105316
907	1.013068383
908	1.012971422
909	1.012850676
910	1.01274574
911	1.012707831
912	1.012579895
913	1.012512692
914	1.012410171
915	1.012370125
916	1.012302397
917	1.012262625
918	1.012217775
919	1.012099024
920	1.012044711
921	1.01197086
922	1.011878593
923	1.011806382
924	1.011732689
925	1.011672955
926	1.011580019
927	1.011481076
928	1.011380628
929	1.011293462
930	1.011237448
931	1.011210888
932	1.011136286
933	1.011050227
934	1.01101712
935	1.010959128
936	1.010929921
937	1.010892539
938	1.010838752
939	1.010727642
940	1.010642586
941	1.010562433
942	1.010483512
943	1.010435505
944	1.010359533
945	1.010202461
946	1.010165032
947	1.010055916
948	1.01002108
949	1.009965464
950	1.009894446
951	1.009836841
952	1.009740078
953	1.009676158
954	1.009631149
955	1.00957272
956	1.009495279
957	1.009416648
958	1.0093234
959	1.009311637
960	1.009247121
961	1.009209516
962	1.009149842
963	1.009054966
964	1.008960035
965	1.008913951
966	1.008882933
967	1.008755697
968	1.008700125
969	1.008594078
970	1.008561511
971	1.008494607
972	1.008411213
973	1.008332426
974	1.008254495
975	1.008197992
976	1.008130144
977	1.008055979
978	1.007998835
979	1.007859564
980	1.007821716
981	1.007794421
982	1.007750406
983	1.007702028
984	1.007644871
985	1.007507428
986	1.007405557
987	1.007319672
988	1.007262314
989	1.007222953
990	1.007131158
991	1.007060977
992	1.007006529
993	1.006907988
994	1.006857601
995	1.006777502
996	1.006676731
997	1.006634758
998	1.006608102
999	1.006472713
